"HiRes SSC-A","HiRes SSC-H","HiRes SSC-W","Time"
101.4,220,30206.1,0.376677
165.1,276,39202.9,0.376677
4946.5,6197,52311.4,0.377709
374.4,577,42524.6,0.378741
388.7,649,39250.9,0.379773
167.7,348,31581.6,0.380805
97.5,265,24112.3,0.380805
2611.7,3337,51291.7,0.381837
179.4,333,35306.8,0.382869
1487.2,1940,50239.8,0.384933
435.5,660,43243.8,0.384933
1484.6,1989,48916.4,0.385965
2585.7,3287,51553.5,0.385965
1514.5,1960,50639.9,0.388029
210.6,320,43130.9,0.389061
508.3,725,45947.5,0.391125
375.7,509,48373,0.391125
2575.3,3110,54268.4,0.392157
425.1,599,46509.8,0.392157
2663.7,3348,52141.1,0.392157
426.4,581,48097.3,0.392157
1626.3,2131,50014.6,0.392157
2770.3,3570,50855.6,0.394221
2665,3432,50889.7,0.397317
2788.5,3649,50081.4,0.398349
1439.1,1916,49223.8,0.399381
1670.5,1989,55041.7,0.400413
891.8,1097,53277.1,0.402477
379.6,490,50770.3,0.402477
1669.2,2073,52770.2,0.406605
2516.8,3217,51271.7,0.406605
344.5,508,44443.2,0.406605
1604.2,2045,51409.7,0.407637
145.6,269,35472.3,0.408669
345.8,506,44787.2,0.410733
2359.5,3061,50516.9,0.411765
2722.2,3452,51680.8,0.412797
127.4,306,27285.3,0.413829
93.6,247,24834.7,0.413829
1693.9,2104,52762.1,0.413829
1428.7,1808,51787.2,0.418989
2628.6,3404,50607.5,0.418989
132.6,264,32916.9,0.420021
991.9,1261,51550.5,0.420021
2723.5,3437,51931.1,0.424149
2662.4,3204,54457.9,0.425181
118.3,285,27203.2,0.427245
429,572,49152,0.428277
1648.4,2189,49351.1,0.430341
487.5,572,55854.5,0.431373
301.6,496,39850.1,0.431373
412.1,553,48837.9,0.431373
409.5,621,43215.8,0.431373
1836.9,2304,52249.6,0.432405
366.6,537,44740.2,0.433437
2931.5,3717,51686.5,0.435501
1729,2074,54634.4,0.436532
2687.1,3369,52271.2,0.437565
425.1,594,46901.3,0.438596
2771.6,3495,51971.3,0.441692
208,364,37449.1,0.442724
152.1,273,36512.9,0.443756
2702.7,3356,52778.4,0.443756
1475.5,1849,52297.7,0.446852
2683.2,3504,50184.4,0.447884
1372.8,1797,50065.6,0.452012
130,312,27306.7,0.453044
2315.3,3077,49312.8,0.454076
2321.8,3021,50367.9,0.454076
2632.5,3362,51315.7,0.454076
319.8,445,47097.6,0.454076
263.9,405,42703.6,0.455108
1583.4,2016,51473.1,0.458204
1569.1,2132,48232.9,0.458204
1228.5,1628,49453.9,0.4613
2359.5,3149,49105.2,0.4613
2515.5,3302,49926,0.462332
423.8,655,42403.3,0.464396
482.3,642,49233.7,0.465428
2723.5,3404,52434.6,0.465428
559,679,53953.8,0.465428
2938,3684,52265.1,0.467492
2506.4,3204,51267,0.468524
374.4,488,50280.1,0.468524
1536.6,2105,47839.7,0.468524
374.4,504,48683.9,0.47162
2580.5,3313,51046.1,0.47162
2821,3585,51569.6,0.472652
234,364,42130.3,0.474716
422.5,625,44302.3,0.475748
421.2,659,41887.4,0.475748
234,413,37131.8,0.475748
455,505,59047.3,0.475748
2731.3,3444,51974,0.475748
115.7,268,28293,0.478844
1445.6,1875,50527.4,0.480908
204.1,324,41283.6,0.482972
1625,2121,50210.3,0.484004
261.3,372,46033.8,0.485036
87.1,208,27443.2,0.486068
725.4,924,51450,0.4871
284.7,457,40827.3,0.488132
141.7,300,30954.8,0.488132
2706.6,3445,51489,0.488132
2317.9,2977,51026.5,0.49226
1502.8,1889,52137.4,0.49226
2574,3306,51025.3,0.495356
2537.6,3328,49971.2,0.495356
448.5,510,57633.1,0.496388
404.3,566,46813.1,0.49742
510.9,714,46894,0.49742
2502.5,3265,50230.9,0.498452
1635.4,2075,51651.8,0.499484
2602.6,3254,52416.7,0.499484
465.4,766,39817.8,0.499484
388.7,608,41897.8,0.50258
328.9,496,43457.2,0.50258
468,596,51461.1,0.503612
2977,3709,52602,0.504644
96.2,216,29187.8,0.506708
1658.8,2196,49504.2,0.50774
418.6,584,46974.9,0.50774
334.1,521,42026.1,0.508772
578.5,711,53322.9,0.508772
1501.5,1969,49975.8,0.508772
2821,3633,50888.3,0.510836
1740.7,2165,52692.2,0.513932
2488.2,3114,52365.7,0.514964
442,636,45545.5,0.517028
1575.6,1956,52790.7,0.51806
331.5,452,48064.6,0.51806
319.8,496,42254.9,0.521156
483.6,676,46883.4,0.522188
2662.4,3477,50182.1,0.522188
1641.9,2219,48491.9,0.52322
462.8,628,48296.3,0.524252
171.6,356,31589.8,0.526316
2395.9,3028,51855.2,0.526316
2739.1,3539,50723.3,0.527348
1621.1,2125,49995.5,0.527348
221,428,33839.8,0.529412
2393.3,2939,53367.6,0.530444
149.5,341,28732.1,0.53354
1673.1,2140,51237.5,0.53354
135.2,257,34476.5,0.534572
1514.5,1867,53162.4,0.535604
227.5,361,41300.4,0.536636
2655.9,3360,51802.7,0.537668
2675.4,3524,49754.5,0.5387
2922.4,3741,51195.5,0.539732
1617.2,2033,52132.2,0.540764
2512.9,3116,52851.5,0.540764
2607.8,3313,51586.1,0.541796
2749.5,3575,50403.1,0.541796
2433.6,3184,50090.6,0.542828
481,681,46289,0.544892
1612,2100,50306.7,0.544892
412.1,596,45314.4,0.545924
227.5,368,40514.8,0.54902
1617.2,2045,51826.3,0.550052
2775.5,3557,51137.2,0.553148
330.2,545,39706.4,0.557276
2702.7,3333,53142.6,0.558308
1517.1,2037,48809.4,0.561404
2380.3,3140,49680,0.564499
434.2,561,50723.2,0.566563
150.8,311,31777.6,0.566563
1693.9,2061,53862.9,0.567595
1643.2,2145,50204.5,0.569659
133.9,268,32743.5,0.572755
1571.7,2032,50690.4,0.573787
111.8,228,32135.6,0.573787
325,521,40881.4,0.576883
345.8,532,42598.4,0.577915
422.5,603,45918.7,0.577915
1738.1,2213,51472.3,0.579979
1674.4,2036,53896.6,0.581011
434.2,605,47034.3,0.582043
2468.7,3012,53714.7,0.583075
332.8,500,43620.8,0.586171
288.6,455,41568.5,0.587203
518.7,700,48562.2,0.591331
119.6,297,26390.9,0.591331
414.7,661,41116.2,0.592363
