"HiRes SSC-A","HiRes SSC-H","HiRes SSC-W","Time"
2077.4,2440,55796.9,0.478576
119.6,245,31992.3,0.482746
139.1,254,35890,0.482746
135.2,216,41020.7,0.483789
120.9,248,31948.8,0.483789
104,216,31554.4,0.483789
89.7,226,26011.4,0.484832
133.9,309,28398.9,0.484832
192.4,348,36233.1,0.485874
509.6,658,50755.5,0.486917
163.8,324,33132.1,0.487959
375.7,469,52498.7,0.487959
98.8,297,21801.2,0.493173
133.9,301,29153.7,0.493173
120.9,248,31948.8,0.493173
126.1,273,30271.4,0.493173
123.5,257,31493,0.494215
131.3,212,40589,0.494215
211.9,370,37532.6,0.495258
118.3,267,29037.1,0.495258
122.2,280,28601.8,0.495258
157.3,300,34362.7,0.495258
145.6,229,41668.3,0.498386
128.7,272,31009.1,0.499429
205.4,313,43006.7,0.500471
252.2,307,53837.7,0.501514
101.4,272,24431.4,0.503599
221,457,31692.5,0.503599
166.4,288,37865.2,0.503599
367.9,473,50974,0.505684
110.5,209,34649.4,0.50777
94.9,227,27398.1,0.508812
111.8,276,26546.8,0.51194
163.8,249,43111.6,0.514026
570.7,810,46174.6,0.515068
183.3,237,50686.7,0.515068
483.6,444,71381.1,0.515068
343.2,449,50093.4,0.515068
104,227,30025.3,0.517154
265.2,364,47747.7,0.520282
115.7,212,35766.6,0.521324
109.2,285,25110.6,0.522367
96.2,272,23178.5,0.523409
270.4,368,48154.7,0.525495
261.3,357,47967.9,0.525495
91,217,27482.8,0.525495
102.7,221,30455,0.526537
100.1,269,24387.2,0.526537
118.3,249,31136.2,0.52758
109.2,271,26407.9,0.531751
148.2,325,29884.4,0.531751
236.6,413,37544.4,0.531751
92.3,221,27370.9,0.532793
94.9,209,29757.7,0.532793
88.4,220,26333.6,0.532793
93.6,268,22888.7,0.533836
237.9,338,46127.3,0.535921
419.9,613,44891.6,0.535921
117,252,30427.4,0.535921
362.7,648,36682,0.539049
135.2,277,31987.2,0.540092
149.5,280,34991.5,0.541135
89.7,221,26599.9,0.541135
107.9,261,27093.2,0.542177
331.5,548,39644.5,0.542177
104,263,25915.4,0.542177
171.6,277,40599.2,0.542177
100.1,255,25726.1,0.542177
115.7,277,27373.7,0.542177
336.7,561,39333.3,0.54322
122.2,285,28100,0.54322
302.9,337,58904.6,0.54322
271.7,349,51020.4,0.544262
146.9,224,42978.7,0.545305
260,425,40092.6,0.546348
171.6,357,31501.3,0.54739
569.4,864,43190,0.548433
208,293,46523.9,0.549476
371.8,496,49125.6,0.550518
278.2,473,38545.7,0.552604
71.5,214,21896.4,0.554689
132.6,256,33945.6,0.554689
85.8,219,25675.7,0.554689
594.1,952,40898,0.556774
120.9,292,27134.6,0.559902
306.8,464,43332.9,0.561988
100.1,228,28772.6,0.561988
120.9,280,28297.5,0.56303
296.4,533,36444.4,0.565115
105.3,226,30535.1,0.565115
174.2,230,49636.4,0.566158
84.5,220,25171.8,0.567201
135.2,260,34078.7,0.567201
113.1,262,28290.5,0.569286
104,224,30427.4,0.569286
4920.5,6202,51994.5,0.569286
105.3,272,25371.1,0.571371
258.7,396,42813.5,0.572414
83.2,208,26214.4,0.572414
231.4,430,35267.5,0.572414
114.4,269,27871.1,0.572414
114.4,238,31501.3,0.573457
106.6,279,25039.9,0.573457
425.1,661,42147.3,0.574499
577.2,1005,37639.2,0.575542
274.3,465,38659.2,0.57867
100.1,225,29156.2,0.57867
105.3,241,28634.6,0.57867
105.3,256,26956.8,0.580755
126.1,309,26744.6,0.580755
167.7,229,47993,0.581798
148.2,253,38389.1,0.581798
166.4,320,34078.7,0.581798
530.4,765,45438.3,0.582841
104,209,32611.2,0.582841
84.5,232,23869.8,0.582841
97.5,255,25057.9,0.583883
161.2,353,29927.5,0.583883
106.6,212,32953.5,0.584926
205.4,317,42464,0.584926
343.2,591,38057.5,0.585968
105.3,253,27276.4,0.587011
293.8,501,38432.1,0.587011
137.8,272,33201.7,0.588054
140.4,245,37556.1,0.590139
375.7,332,74162.3,0.590139
114.4,317,23650.8,0.591182
111.8,215,34078.7,0.591182
102.7,312,21572.3,0.595352
83.2,224,24341.9,0.596395
161.2,228,46335.1,0.597438
191.1,232,53982.5,0.597438
117,228,33630.3,0.597438
148.2,326,29792.7,0.597438
172.9,270,41967.3,0.599523
236.6,300,51686.1,0.599523
105.3,239,28874.2,0.601608
159.9,238,44030.3,0.602651
109.2,241,29695.1,0.602651
1730.3,1864,60835.3,0.602651
141.7,307,30249,0.602651
146.9,317,30369.8,0.603693
605.8,805,49318.9,0.604736
106.6,244,28631.7,0.605779
92.3,300,20163.2,0.606821
109.2,265,27005.8,0.606821
174.2,273,41818.2,0.606821
96.2,267,23612.6,0.606821
97.5,244,26187.5,0.607864
88.4,229,25298.6,0.607864
87.1,226,25257.5,0.607864
84.5,235,23565.1,0.608907
123.5,315,25694.3,0.609949
161.2,257,41106.6,0.610992
122.2,297,26964.6,0.612035
94.9,232,26807.6,0.613077
899.6,1221,48285.2,0.613077
114.4,280,26776.1,0.616205
102.7,293,22971.1,0.617248
158.6,245,42424.5,0.617248
184001,196377,61405.7,0.61829
179.4,260,45219.8,0.61829
107.9,280,25254.8,0.619333
195,274,46640.6,0.620376
102.7,260,25886.7,0.622461
126.1,277,29834.3,0.622461
114.4,266,28185.4,0.622461
191.1,384,32614.4,0.623504
1043.9,1296,52787.8,0.623504
392.6,506,50848.7,0.625589
96.2,220,28657.1,0.626632
312,497,41141.3,0.628717
230.1,377,39999.6,0.631845
139.1,313,29124.8,0.632888
166.4,385,28325.2,0.632888
274.3,474,37925.2,0.632888
101.4,236,28158.3,0.63393
105.3,245,28167.1,0.63393
685.1,879,51079.3,0.637058
81.9,229,23438.4,0.637058
109.2,281,25468.1,0.638101
105.3,260,26542.1,0.638101
414.7,408,66612.2,0.639143
206.7,361,37524.4,0.641229
81.9,234,22937.6,0.643314
123.5,324,24980.5,0.644357
153.4,324,31028.5,0.645399
98.8,240,26979,0.647485
176.8,273,42442.4,0.648527
487.5,497,64283.3,0.648527
91,212,28131,0.64957
291.2,427,44693.4,0.650613
130,289,29479.9,0.650613
127.4,259,32236.6,0.650613
200.2,309,42460.5,0.651655
143,397,23606.2,0.651655
234,379,40462.9,0.653741
286,314,59692,0.654783
92.3,226,26765.4,0.654783
87.1,252,22651.5,0.655826
102.7,245,27471.6,0.657911
139.1,296,30797.5,0.657911
118.3,225,34457.4,0.659996
119.6,229,34227.5,0.661039
130,224,38034.3,0.663124
218.4,288,49698.1,0.663124
494,582,55626.8,0.664167
102.7,239,28161.3,0.666252
211.9,256,54246.4,0.667295
304.2,449,44401,0.668338
124.8,309,26468.9,0.66938
188.5,261,47331.6,0.670423
110.5,248,29200.5,0.670423
94.9,210,29616,0.670423
292.5,520,36864,0.671466
193.7,310,40949.4,0.672508
702,996,46191,0.672508
191.1,369,33940.2,0.672508
295.1,375,51572.5,0.673551
174.2,386,29576.1,0.673551
237.9,321,48570.1,0.675636
133.9,265,33114.2,0.676679
287.3,491,38347.2,0.680849
113.1,221,33539,0.680849
159.9,297,35283.5,0.683977
154.7,273,37137.1,0.688148
113.1,257,28840.9,0.689191
113.1,239,31013.1,0.689191
288.6,433,43680.6,0.690233
111.8,303,24181.3,0.690233
104,245,27819.4,0.690233
123.5,304,26624,0.691276
222.3,445,32738.5,0.692319
391.3,493,52016.7,0.693361
110.5,244,29679.2,0.696489
180.7,293,40417.6,0.697532
275.6,504,35836.7,0.698574
